,,,,,
,,,,,
,,,,,
JSON,name,ring,quadrant,isNew,description
"{""name"": ""Monolith Architecture"", ""ring"": ""Hold"", ""quadrant"": ""Techniques"", ""description"": ""A software program, which is built as a unified unit that is self-contained and independent from other applications""},",Monolith Architecture,Hold,Techniques,FALSE,"A software program, which is built as a unified unit that is self-contained and independent from other applications"
"{""name"": ""Cypress"", ""ring"": ""Adopt"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""Primary test automation framework where real browsers are used to write and run frontend integration and E2E tests for the whole applications.""},",Cypress,Adopt,Languages and Frameworks,FALSE,Primary test automation framework where real browsers are used to write and run frontend integration and E2E tests for the whole applications.
"{""name"": ""Playwright"", ""ring"": ""Trial"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""Test automation framework with powerful features for web automation. Being evaluated for automation purposes general tasks and as an alternative for part of our visual regression tests.""},",Playwright,Trial,Languages and Frameworks,TRUE,Test automation framework with powerful features for web automation. Being evaluated for automation purposes general tasks and as an alternative for part of our visual regression tests.
"{""name"": ""CometML"", ""ring"": ""Trial"", ""quadrant"": ""Tools"", ""description"": ""A machine learning experiment tracking and model and data monitoring tool.""},",CometML,Trial,Tools,TRUE,A machine learning experiment tracking and model and data monitoring tool.
"{""name"": ""Sagemaker"", ""ring"": ""Hold"", ""quadrant"": ""Tools"", ""description"": ""A machine-learning platform currently used for model deployment, parameter tuning and notebook experimentation with heavy compute requirements.""},",Sagemaker,Hold,Tools,FALSE,"A machine-learning platform currently used for model deployment, parameter tuning and notebook experimentation with heavy compute requirements."
"{""name"": ""FastAPI"", ""ring"": ""Trial"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""A modern, fast (high-performance), web framework for building APIs with Python based on standard Python type hints.""},",FastAPI,Trial,Languages and Frameworks,TRUE,"A modern, fast (high-performance), web framework for building APIs with Python based on standard Python type hints."
"{""name"": ""Kedro"", ""ring"": ""Trial"", ""quadrant"": ""Languages and Frameworks"", ""description"": ""An open-source framework for maintainable data science code""},",Kedro,Trial,Languages and Frameworks,TRUE,An open-source framework for maintainable data science code
"{""name"": ""Poetry"", ""ring"": ""Trial"", ""quadrant"": ""Tools"", ""description"": ""Poetry is a command-line tool that helps you manage your Python projects' dependencies and packages.""},",Poetry,Trial,Tools,TRUE,Poetry is a command-line tool that helps you manage your Python projects' dependencies and packages.
"{""name"": ""Jira"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Allows bug tracking, issue tracking and agile project management. ""},",Jira,Adopt,Tools,FALSE,"Allows bug tracking, issue tracking and agile project management. "
"{""name"": ""Confluence"", ""ring"": ""Adopt"", ""quadrant"": ""Tools"", ""description"": ""Web-based corporate wiki""},",Confluence,Adopt,Tools,FALSE,Web-based corporate wiki
,,,,,
,,,,,
,Consider checking this: https://printify.atlassian.net/wiki/spaces/Handbook/pages/1038289607/Software+and+tools,,,,
,,,,,
,,,,,
,Links:,,,,
,How to create your enterprise technology radar,https://www.thoughtworks.com/insights/blog/technology-strategy/how-to-create-your-enterprise-technology-radar,,,
